"pointNum","accumDst","foo","elevation-n-vancouver","elevation-s-vancouver","value"
705,5640,,58,0,58
706,5648,,58,0,58
707,5656,,59,0,59
708,5664,,59,0,59
709,5672,,58,0,58
710,5680,,58,0,58
711,5688,,58,0,58
712,5696,,58,0,58
713,5704,,58,0,58
714,5712,,58,0,58
715,5720,,58,0,58
716,5728,,56,0,56
717,5736,,56,0,56
718,5744,,56,0,56
719,5752,,56,0,56
720,5754.64411,,56,0,56
