"pointNum","accumDst","temp","elevation-n-vancouver","elevation-s-vancouver","value"
205,1640,,-2147483648,98,98
206,1648,,-2147483648,98,98
207,1656,,-2147483648,98,98
208,1664,,-2147483648,97,97
209,1672,,-2147483648,97,97
210,1680,,-2147483648,97,97
211,1688,,-2147483648,97,97
212,1696,,-2147483648,97,97
213,1704,,-2147483648,98,98
214,1712,,-2147483648,98,98
215,1720,,-2147483648,98,98
216,1728,,-2147483648,98,98
217,1736,,-2147483648,98,98
218,1744,,-2147483648,99,99
219,1752,,-2147483648,99,99
220,1760,,-2147483648,99,99
221,1768,,-2147483648,99,99
222,1776,,-2147483648,99,99
223,1784,,-2147483648,98,98
224,1792,,-2147483648,98,98
225,1800,,-2147483648,98,98
226,1808,,-2147483648,98,98
227,1816,,-2147483648,100,100
228,1824,,-2147483648,100,100
229,1832,,-2147483648,100,100
230,1840,,-2147483648,100,100
231,1848,,-2147483648,100,100
232,1856,,-2147483648,100,100
233,1864,,-2147483648,100,100
234,1872,,-2147483648,100,100
235,1880,,-2147483648,100,100
236,1888,,-2147483648,100,100
237,1896,,-2147483648,101,101
238,1904,,-2147483648,101,101
239,1912,,-2147483648,101,101
240,1920,,-2147483648,101,101
241,1928,,-2147483648,101,101
242,1936,,-2147483648,99,99
243,1944,,-2147483648,99,99
244,1952,,-2147483648,99,99
245,1960,,-2147483648,101,101
246,1968,,-2147483648,101,101
247,1976,,-2147483648,101,101
248,1984,,-2147483648,101,101
249,1992,,-2147483648,101,101
250,2000,,-2147483648,101,101
251,2008,,-2147483648,101,101
252,2016,,-2147483648,99,99
253,2024,,-2147483648,99,99
254,2032,,-2147483648,97,97
255,2040,,-2147483648,97,97
256,2048,,-2147483648,97,97
257,2056,,-2147483648,97,97
258,2064,,-2147483648,97,97
259,2072,,-2147483648,99,99
260,2080,,-2147483648,99,99
261,2088,,-2147483648,99,99
262,2096,,-2147483648,99,99
263,2104,,-2147483648,99,99
264,2112,,-2147483648,97,97
265,2120,,-2147483648,98,98
266,2128,,-2147483648,98,98
267,2136,,-2147483648,98,98
268,2144,,-2147483648,99,99
269,2152,,-2147483648,99,99
270,2160,,-2147483648,101,101
271,2168,,-2147483648,101,101
272,2176,,-2147483648,101,101
273,2184,,-2147483648,99,99
274,2192,,-2147483648,99,99
275,2200,,-2147483648,101,101
276,2208,,-2147483648,101,101
277,2216,,-2147483648,101,101
278,2224,,-2147483648,101,101
279,2232,,-2147483648,101,101
280,2240,,-2147483648,102,102
281,2248,,-2147483648,102,102
282,2256,,-2147483648,103,103
283,2264,,-2147483648,103,103
284,2272,,-2147483648,103,103
285,2280,,-2147483648,103,103
286,2288,,-2147483648,103,103
287,2296,,-2147483648,103,103
288,2304,,-2147483648,103,103
289,2312,,-2147483648,103,103
290,2320,,-2147483648,103,103
291,2328,,-2147483648,103,103
292,2336,,-2147483648,104,104
293,2344,,-2147483648,104,104
294,2352,,-2147483648,105,105
295,2360,,-2147483648,105,105
296,2368,,-2147483648,105,105
297,2376,,-2147483648,103,103
